"plh0111","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Important","2013","lower secondary degree","(1b) general elementary school","","","",""
"Important","2013","lower secondary degree","(1c) basic vocational qualification","","","",""
"Important","2013","lower secondary degree","(2b) intermediate general qualification","","","",""
"Important","2013","lower secondary degree","(2a) intermediate vocational","","","",""
"Important","2013","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Important","2013","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Important","2013","lower secondary degree","(3a) lower tertiary education","","","",""
"Important","2013","lower secondary degree","(3b) higher tertiary education","","","",""
"Important","2013","secondary school degree","(0) in school","","","",""
"Important","2013","secondary school degree","(1a) inadequately completed","","","",""
"Important","2013","secondary school degree","(1b) general elementary school","","","",""
"Important","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"Important","2013","secondary school degree","(2b) intermediate general qualification","","","",""
"Important","2013","secondary school degree","(2a) intermediate vocational","","","",""
"Important","2013","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Important","2013","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Important","2013","secondary school degree","(3a) lower tertiary education","","","",""
"Important","2013","secondary school degree","(3b) higher tertiary education","","","",""
"Important","2013","college entrance qualification","(0) in school","","","",""
"Important","2013","college entrance qualification","(1a) inadequately completed","","","",""
"Important","2013","college entrance qualification","(1b) general elementary school","","","",""
"Important","2013","college entrance qualification","(1c) basic vocational qualification","","","",""
"Important","2013","college entrance qualification","(2b) intermediate general qualification","","","",""
"Important","2013","college entrance qualification","(2a) intermediate vocational","","","",""
"Important","2013","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Important","2013","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Important","2013","college entrance qualification","(3a) lower tertiary education","","","",""
"Important","2013","college entrance qualification","(3b) higher tertiary education","","","",""
"Important","2013","Other degree","(0) in school","","","",""
"Important","2013","Other degree","(1a) inadequately completed","","","",""
"Important","2013","Other degree","(1b) general elementary school","","","",""
"Important","2013","Other degree","(1c) basic vocational qualification","","","",""
"Important","2013","Other degree","(2b) intermediate general qualification","","","",""
"Important","2013","Other degree","(2a) intermediate vocational","","","",""
"Important","2013","Other degree","(2c_gen) general maturity certificate","","","",""
"Important","2013","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Important","2013","Other degree","(3a) lower tertiary education","","","",""
"Important","2013","Other degree","(3b) higher tertiary education","","","",""
"Important","2013","no degree/no degree yet","(0) in school","","","",""
"Important","2013","no degree/no degree yet","(1a) inadequately completed","","","",""
"Important","2013","no degree/no degree yet","(1b) general elementary school","","","",""
"Important","2013","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Important","2013","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Important","2013","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Important","2013","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Important","2013","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Important","2013","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Important","2013","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Less important","2013","lower secondary degree","(0) in school","","","",""
"Less important","2013","lower secondary degree","(1a) inadequately completed","","","",""
"Less important","2013","lower secondary degree","(1b) general elementary school","","","",""
"Less important","2013","lower secondary degree","(1c) basic vocational qualification","","","",""
"Less important","2013","lower secondary degree","(2b) intermediate general qualification","","","",""
"Less important","2013","lower secondary degree","(2a) intermediate vocational","","","",""
"Less important","2013","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Less important","2013","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Less important","2013","lower secondary degree","(3a) lower tertiary education","","","",""
"Less important","2013","lower secondary degree","(3b) higher tertiary education","","","",""
"Less important","2013","secondary school degree","(0) in school","","","",""
"Less important","2013","secondary school degree","(1a) inadequately completed","","","",""
"Less important","2013","secondary school degree","(1b) general elementary school","","","",""
"Less important","2013","secondary school degree","(1c) basic vocational qualification","","","",""
"Less important","2013","secondary school degree","(2b) intermediate general qualification","","","",""
"Less important","2013","secondary school degree","(2a) intermediate vocational","","","",""
"Less important","2013","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Less important","2013","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Less important","2013","secondary school degree","(3a) lower tertiary education","","","",""
"Less important","2013","secondary school degree","(3b) higher tertiary education","","","",""
"Less important","2013","college entrance qualification","(0) in school","","","",""
"Less important","2013","college entrance qualification","(1a) inadequately completed","","","",""
"Less important","2013","college entrance qualification","(1b) general elementary school","","","",""
